title,author,price,publisher,page_count,generes,ISBN
"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,265.39,Springer Science & Business Media,404,"Computers , Electronic Commerce",9.78187E+12
HR from the Outside In: Six Competencies for the Future of Human Resources,David Ulrich,133.9,McGraw Hill Professional,272,"Business , Economics , Training",9.78187E+12
Boy Erased: A Memoir,Garrard Conley,23.85,Penguin,352,"Biography , Autobiography , Literary Figures",9.78187E+12
"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition: Edition 9",Judith E. Tintinalli,886.08,McGraw Hill Professional,2192,"Medical , Internal Medicine",9.78187E+12
Working With You is Killing Me: Freeing Yourself from Emotional Traps at Work,Katherine Crowley,78.76,Hachette UK,256,"Self-Help , Communication , Social Skills",9.78187E+12
Avengers Vol. 1: Avengers World,Jonathan Hickman,43.28,Marvel Entertainment,152,General,9.78187E+12
"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",David Lagercrantz,39.34,Vintage Crime/Black Lizard,416,General,9.78188E+12
Spider-Verse: Volume 1,Dan Slott,118.11,Marvel Entertainment,624,"Comics , Graphic Novels , Superheroes",9.78188E+12
We Should All Be Feminists,Chimamanda Ngozi Adichie,23.85,Vintage,32,"Social Science , Gender Studies",9.78188E+12
Spider-Man: Kraven's Last Hunt,J. M. DeMatteis,43.28,Marvel Entertainment,168,"Comics , Graphic Novels , Superheroes",9.78188E+12
Venomized,Cullen Bunn,35.41,Marvel Entertainment,136,General,9.78188E+12
No One Is Too Small to Make a Difference,Greta Thunberg,38.18,Penguin,112,"Nature , Environmental Conservation , Protection",9.78188E+12
Find Me: A TOP TEN SUNDAY TIMES BESTSELLER,Andre Aciman,42.16,Faber & Faber,256,General,9.78188E+12
The Way Of Shadows: Book 1 of the Night Angel,Brent Weeks,43.28,Hachette UK,688,"Fiction , Fantasy , General",9.78188E+12
Batman Vol. 4: Zero Year-Secret City (The New 52),Scott Snyder,66.91,DC,180,General,9.78188E+12
Wedge's Gamble: Star Wars Legends (X-Wing),Michael A. Stackpole,31.46,Del Rey,368,"Fiction , Science Fiction , Action , Adventure",9.78188E+12
PSYCHOANALYSIS FOR BEGINNERS: A General Introduction to Psychoanalysis & Dream Psychology,Sigmund Freud,2.06,e-artnow,160,"Psychology , Movements , Psychoanalysis",9.78189E+12
Darksiders: The Abomination Vault: A Novel,Ari Marmell,57.3,Del Rey,368,"Fiction , Fairy Tales, Folk Tales, Legends , Mythology",9.78189E+12
The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.9,Hachette UK,30,"Business , Economics , Personal Finance , Budgeting",9.78189E+12
Forever Evil,Geoff Johns,98.42,DC,240,General,9.78189E+12
The Punisher Vol. 1: Black and White,Natahan Edmondson,70.85,Marvel Entertainment,136,"Comics , Graphic Novels , Superheroes",9.78189E+12
Homecoming (A Chloe Fine Psychological Suspense MysteryBook 5),Blake Pierce,22.47,Blake Pierce,250,General,9.78189E+12
Mega Man #1,Ian Flynn,11.78,Archie Comic Publications,25,"Juvenile Fiction , Humorous Stories",9.78189E+12
Marvel Universe: The End,Jim Starlin,43.28,Marvel Entertainment,168,General,9.78189E+12
Batman: Arkham Unhinged Vol. 1,Derek Fridolfs,59.03,DC,160,General,9.78189E+12
"How to Make Money in Stocks: A Winning System in Good Times and Bad, Fourth Edition: Edition 4",William J. O'Neil,86.64,McGraw Hill Professional,464,"Business , Economics , Public Finance",9.78189E+12
Night of the Bold (Kings and Sorcerers--Book 6),Morgan Rice,22.47,Morgan Rice,250,"Fiction , Fantasy , Epic",9.7819E+12
Eeny Meeny: DI Helen Grace 1,M. J. Arlidge,42.16,Penguin UK,464,"Fiction , Mystery , Detective , Women Sleuths",9.7819E+12
The Magic of Thinking Big,David J. Schwartz,66.87,Penguin,256,General,9.7819E+12
"Chronicle of the Unhewn Throne: (The Emperor's Blades, The Providence of Fire, The Last Mortal Bond)",Brian Staveley,129.51,Macmillan,1728,General,9.7819E+12
All-New Wolverine Vol. 1: The Four Sisters,Tom Taylor,70.85,Marvel Entertainment,136,General,9.7819E+12
A Trace of Crime (a Keri Locke Mystery--Book #4),Blake Pierce,18.72,Blake Pierce,250,"Fiction , Mystery & Detective , General",9.7819E+12
The Jump,Doug Johnstone,32.78,Faber & Faber,304,General,9.7819E+12
Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender,70.88,Crown Business,464,General,9.7819E+12
One Small Step Can Change Your Life: The Kaizen Way,Robert Maurer,39.19,Workman Publishing,228,"Self-Help , Personal Growth , Success",9.7819E+12
Injustice: Gods Among Us Year One - The Complete Collection: Issues 1-12,Tom Taylor,98.42,DC,400,General,9.7819E+12
Leadership 101: What Every Leader Needs to Know,John C. Maxwell,32.48,HarperCollins Leadership,128,General,9.78191E+12
The Complete Art of War,Sun Tzu,7.84,Simon and Schuster,667,"Political Science , Political Ideologies , General",9.78191E+12
We,Yevgeny Zamyatin,7.13,Pan,226,"Fiction , Science Fiction , Action , Adventure",9.78191E+12
Sammy Keyes and the Art of Deception,Wendelin Van Draanen,43.28,Yearling,304,Juvenile Fiction,9.78191E+12
Bring Your Own Devices (BYOD) Survival Guide,Jessica Keyes,26.15,CRC Press,451,"Business , Economics",9.78191E+12
Enterprise 2.0,Jessica Keyes,133.85,CRC Press,425,"Business , Economics",9.78191E+12
