title,author,price,publisher,page_count,generes,ISBN
Gangster: A Novel,Lorenzo Carcaterra,31.46,Ballantine Books,384,"Fiction , Mystery , Detective , Hard-Boiled",9780350000000 
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,51.16,Hachette UK,672,General,9780580000000 
A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,18.72,Morgan Rice,250,"Fiction , Science Fiction , General",9781630000000 
Final Option: 'The best one yet',Clive Cussler,93.75,Penguin UK,400,"Fiction , Thrillers , Suspense",9781410000000 
Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,33.72,Morgan Rice,500,"Juvenile Fiction , Fantasy , Magic",9781630000000 
Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,26.15,Kensington Publishing Corp.,320,"Fiction , Mystery , Detective , Cozy , General",9781620000000 
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,33.38,Tim Duggan Books,128,"History , Modern , 20th Century",9780800000000 
No Mercy: The brand new novel from the Queen of Crime,Martina Cole,98.42,Hachette UK,416,"Fiction , Thrillers , Domestic",9781470000000 
A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,33.42,Macmillan,688,General,9781430000000 
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,32.51,Pan Macmillan,245,"Fiction , Humorous , General",9780330000000 
Antiques Knock-Off,Barbara Allan,73.67,Kensington Publishing Corp.,240,"Fiction , Mystery , Detective , Cozy , General",9780760000000 
Thrawn (Star Wars),Timothy Zahn,39.34,Del Rey,448,"Fiction , Action , Adventure",9780350000000 
The Joker,Brian Azzarello,78.73,DC,130,General,9781400000000 
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,32.51,Pan Macmillan,245,"Fiction , General",9780330000000 
Platform: Get Noticed in a Noisy World,Michael Hyatt,73.92,HarperCollins Leadership,288,General,9781600000000 
The Guardians: A Novel,John Grisham,71.63,Doubleday,384,"Fiction , Thrillers , Suspense",9780390000000 
Shantaram,Gregory David Roberts,55.1,Hachette UK,944,General,9781410000000 
The Burning White: Book Five of Lightbringer,Brent Weeks,98.42,Hachette UK,640,"Fiction , Fantasy , General",9780360000000 
Dead Silent,Shirley Wells,8.85,Harlequin,355,General,9781430000000 
Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,70.7,W. W. Norton & Company,256,"Business , Economics , New Business Enterprises",9780390000000 
The Man in the High Castle,Philip K. Dick,55.17,Houghton Mifflin Harcourt,272,General,9780550000000 
